gps_flag,peer_consistency,device_trust,cdi_score,claim_frequency,device_shared
0,0.9901428612819833,0.9463987883622811,0.8394633936788146,1,0
0,0.8918497783931735,0.8667417222278044,0.6571467271687763,1,0
1,0.6329770563201687,0.38493564427131044,0.2727299868828402,3,1
0,0.8014132610439435,0.8046124850082832,0.8099098641033556,1,0
0,0.8732723686587384,0.8912139968434072,0.9140703845572055,1,0
1,0.48670515729919195,0.6439761626945282,0.47212301543511187,3,0
1,0.6862528132298237,0.6233589392465844,0.3218455076693483,3,0
0,0.9366527037650917,0.9219993315565242,0.9332779646944658,1,1
0,0.9325044568707964,0.8623422152178822,0.8080272084711243,2,0
0,0.9684569549189997,0.8899508266739532,0.7580600944007257,2,0
1,0.3353970008207678,0.3783931449676581,0.21809091556421523,3,0
0,0.9657475018303858,0.8713506653387179,0.7123738038749523,2,0
0,0.8330533878126005,0.8031272813482389,0.7693605922825478,1,0
0,0.9630922856909668,0.9413714687695234,0.8916028672163949,1,0
1,0.5604308102007778,0.6659838702175123,0.5400154311159198,4,0
0,0.9337682505327215,0.9331844713234994,0.8365191150830908,2,0
0,0.8239188491876603,0.942648957444599,0.9043140194467589,2,0
0,0.8080867179076863,0.9421325779371574,0.6443563283247326,2,0
0,0.9272820822527561,0.8628711962152653,0.8034282764658811,2,0
0,0.9079682182603347,0.840612244946954,0.9771414282231924,1,0
0,0.9859395304685146,0.9616240759128833,0.8533615026041694,2,0
0,0.8833019895740732,0.9766560517837737,0.7297380084021096,1,0
0,0.8220103849055354,0.8455870325083884,0.7708431154505025,2,0
0,0.8329311706285883,0.9068178838750884,0.7939319885435933,1,0
0,0.9885819407825038,0.8646405864041511,0.8075162486973464,1,0
0,0.850783082786869,0.8493752125677203,0.8785217091359153,1,0
0,0.8073773894709066,0.9219128667959794,0.8010716092915446,2,0
0,0.9268702689402728,0.9361410903109534,0.8123738333268545,2,1
0,0.9344271094811757,0.9523239230657435,0.6950550175969599,1,0
0,0.9966846281789685,0.8797648884889107,0.9265727492877536,2,0
0,0.8373037020799708,0.8081550283109529,0.8363571772752967,1,0
0,0.9619002092279431,0.8697331974583459,0.6384706204365683,1,0
0,0.9873459977473469,0.8275041888291987,0.7364265404201034,1,0
0,0.9391568798690164,0.84571000435946,0.6699819708383744,2,0
0,0.8483704581800904,0.8186205535611799,0.9588863031813307,1,0
0,0.8557742705184364,0.9400715659945542,0.9386644568953224,2,0
0,0.9284063292308575,0.8168279929990098,0.6646514856378455,2,0
0,0.8744565533123486,0.9880266884915556,0.989465534702127,2,0
0,0.9383790395385386,0.9303922519005201,0.689707723784224,1,0
0,0.8357645418442659,0.873293756916572,0.8976682092226249,1,0
0,0.8187349535656185,0.8735431606118867,0.7060809470726902,2,0
1,0.494696861183782,0.6624395150874216,0.37375774620417146,3,1
0,0.8985035387637728,0.8390485975596089,0.888980846104602,1,0
0,0.8087207543508868,0.9989101021594682,0.7879778055963772,2,1
0,0.8030913233057735,0.9856637125175451,0.7712736593269257,1,0
1,0.3301385024024513,0.4222788077148727,0.27636441246013843,3,0
0,0.9113602524916701,0.9872309548321562,0.8784119186699892,2,0
0,0.9342287033648101,0.8717293562592328,0.7016654596278955,2,0
0,0.9394031481990536,0.9404968167974219,0.743796460487902,1,0
0,0.8512413887188917,0.9223027421731361,0.6326376721600961,1,0
0,0.929992786155553,0.9403933754515407,0.9183170677744404,2,0
0,0.9157729791015118,0.8876948246036174,0.8688104541180797,1,0
0,0.857308250425657,0.9181666521138022,0.6122000999756197,2,0
0,0.9074164854393311,0.8653302483592082,0.9311476015150355,2,0
0,0.8170694929987536,0.8103363442337216,0.8125418526272592,1,0
0,0.826549084448594,0.9939073734228319,0.8858380416719809,1,0
0,0.8877942841411273,0.8156912762684533,0.610140297366183,1,0
0,0.9376999801530733,0.8116387191016887,0.9660854910505922,1,0
0,0.9429191845400124,0.9320394753435463,0.7119735587783771,2,0
0,0.8871345797355782,0.9460078633123638,0.6190864510766595,2,0
0,0.8028786977259512,0.8232145281013833,0.618401056808701,1,0
1,0.37013210795573537,0.3068644407327001,0.5053457692015644,3,0
0,0.8867703298475946,0.8797009468794748,0.8463400392208866,1,0
0,0.803060908058077,0.9866872616158966,0.8004159535661037,2,0
0,0.814113749480086,0.9284838556412631,0.6106045242166487,2,0
0,0.9354336684765964,0.9146734083343867,0.651400141293564,1,0
1,0.4544410551203097,0.6844762255295657,0.5621402567824254,3,0
0,0.80364436513031,0.8188885921511857,0.8732027093665427,1,0
0,0.936322733794558,0.8681249138928481,0.7042778112943613,1,0
0,0.9257885693559769,0.9754944027054107,0.8940284175215543,1,1
0,0.8846941884616237,0.9137040567499917,0.8303698301032338,1,0
0,0.9552825921483994,0.8681607080506036,0.9723029302414259,1,0
0,0.9479817520894749,0.8476472304807959,0.7510915544705179,1,0
0,0.8640099202061224,0.97910464569924,0.7556806714936652,2,1
0,0.8709810380925441,0.9913601770252913,0.8707079617697213,2,0
0,0.889689104395664,0.858642154339613,0.7314658181479664,1,0
1,0.612518420188481,0.3453858408069792,0.572371642274917,4,0
0,0.8883061002746754,0.97754083655166,0.7403660050208315,2,1
0,0.9673927748474748,0.9733737410621683,0.935392305505594,2,0
0,0.9643720118580712,0.9412484454312993,0.6325395122567599,1,0
0,0.9726277043978008,0.9760719937276834,0.6946740774728315,1,1
0,0.8752519171061832,0.8167001433397338,0.9108587663709747,2,0
0,0.8660505058038197,0.8868903688976543,0.7014728695492555,2,0
0,0.8237635832536144,0.823505249355421,0.8596841208464254,1,0
0,0.880044578574405,0.8955429781760456,0.6331565286773416,1,0
1,0.30486178987592655,0.6879515306830556,0.21726396478023047,3,0
1,0.6676462861114637,0.40119606719569645,0.478164449242659,3,1
0,0.9391497377969235,0.8909082129535547,0.8510232320336253,2,0
0,0.9830508683338213,0.9917404814815692,0.6231455591030829,2,0
0,0.8554762365962265,0.8376242319447523,0.7854793619759929,2,0
0,0.8720690190410537,0.8519899725708526,0.7812963387315324,1,0
0,0.9627590039413898,0.9369462345107759,0.6650467757379565,2,0
1,0.46665562309539166,0.5324650484723304,0.5676706207342238,4,1
0,0.809043734021238,0.8052733948994505,0.7505853467512198,1,0
1,0.4506955879751763,0.5998313199904288,0.35719577959154364,5,1
0,0.8937386319589941,0.882963900467533,0.7093628287722825,2,0
0,0.9068692550058927,0.9499821498939944,0.9652663009030571,1,0
1,0.6398589562709646,0.39893924069727904,0.3802176541240374,4,0
0,0.8414455298016114,0.9756441334958385,0.9027996528688915,2,0
0,0.9343146391185599,0.9040615401807587,0.9089273566942557,1,0
0,0.9935947530879646,0.8176816446731293,0.9167271357878531,1,0
0,0.9510274511347239,0.924061910270693,0.8816319072396894,1,1
0,0.9960925450184756,0.9216175699083771,0.854657728648913,1,0
1,0.4393021868093201,0.5055957956639243,0.5134612050964572,4,1
0,0.9899041247315284,0.8294146961858077,0.9706350500645977,2,0
0,0.8091722532809267,0.9241611368844183,0.7389653632901657,2,0
0,0.8151726656217329,0.8257759443821299,0.6512183355831089,1,0
0,0.8360134544698598,0.9393002932454158,0.7646644857430113,2,0
0,0.834463974240326,0.8384578037617342,0.6163474465065916,1,0
0,0.8063609362970331,0.9097430618414818,0.8137694014930092,2,0
0,0.9006834541709714,0.938078965725873,0.6157248559364396,1,0
0,0.9023314027094522,0.8313955365432388,0.750914386096829,1,0
0,0.9496519380767316,0.8369042038712755,0.6837397293346841,1,1
0,0.9519910817875171,0.9062531507947068,0.8882064245565859,2,0
0,0.9426699171769105,0.9790413675374399,0.8046709768462664,1,0
0,0.8708293341586251,0.8794327665008166,0.6419476666129923,1,0
0,0.8644158331166357,0.842289601399309,0.7309989408711659,2,0
0,0.8947939882861112,0.8710208606558609,0.8595291361166304,2,0
0,0.9173682236041758,0.949087894836866,0.7726638184918717,1,0
0,0.9799294794290024,0.9215110444587146,0.6977412621858619,1,1
0,0.8474453583471989,0.8203564945240808,0.6611436556737328,1,0
0,0.8175775249080288,0.9611729773482287,0.6222613957427902,1,0
0,0.8820793653979323,0.9964757233817213,0.6448155608672209,2,0
1,0.30212000255904214,0.690026865178057,0.39629951170351374,4,1
1,0.5227051572055719,0.5286450757879599,0.3119916374641137,3,0
0,0.8850872877232834,0.901522075736891,0.6969638929660321,1,0
0,0.8174580359179351,0.9012207912718694,0.9728057369027736,1,0
0,0.8673208556387841,0.8268829353877949,0.625349988189107,2,0
0,0.8175736222485314,0.8277649546884042,0.6010843597657318,1,0
0,0.8823681828294537,0.8697736533085991,0.9718116576991304,2,0
0,0.9865876134199909,0.9981858952914782,0.6820007240212949,1,0
0,0.9148946226359824,0.9683657553516545,0.6559089506505158,1,0
0,0.9650265353385594,0.8372809973576288,0.6942766984259999,2,0
0,0.9754401081626216,0.8784890214845271,0.9266397757886309,1,0
0,0.9248203088363676,0.9079562123829267,0.7754978701553357,1,0
0,0.8767782442746423,0.9087105722227977,0.9625888443858188,1,0
0,0.8665631571824969,0.9461098273618603,0.8774870429613353,2,0
0,0.9066922183952644,0.9787785166101916,0.9154388844898123,2,0
0,0.9557143878101502,0.828625597109694,0.6818178372677853,2,0
0,0.8684163497431815,0.9642514609344026,0.6442526947820829,2,0
0,0.900457669492506,0.9079721274225674,0.7945429927982431,2,0
0,0.9282295265770595,0.93878968889342,0.8170897773390384,1,0
0,0.9918149589128056,0.8685048514357088,0.6909403932119949,1,0
1,0.36134056124643205,0.5344919328067188,0.40235547155378637,3,0
0,0.9185925810517643,0.82044253284504,0.9675002089042986,1,1
0,0.8305078085828523,0.9152576720333626,0.8426860185531424,2,0
0,0.9680879263960847,0.9821372396511426,0.6491243127382935,1,1
0,0.8249325362406534,0.9841683765234744,0.9479585448248513,1,0
0,0.8758611396771098,0.9488499303686577,0.682231923350255,1,0
0,0.8796337387181887,0.9074791205875846,0.9679422465651042,2,0
0,0.9836909449878602,0.9174136448273135,0.6131386680973753,1,0
0,0.899673554547896,0.8837850899009096,0.96593836042724,1,0
0,0.8440194428162194,0.8425361568682452,0.806069472962725,1,1
0,0.8829248247454048,0.8170699336157288,0.998749700738379,1,0
0,0.8794636230915196,0.8853577810673499,0.9199128088297077,2,0
0,0.807309933569619,0.8944133890219998,0.8259364533050466,2,0
0,0.9055295460289572,0.9068911782514494,0.7924351793550344,2,0
0,0.8363856260990543,0.9723571242027035,0.9784461848534531,2,0
